141 21 01.8 43 03 42.7 
141 21 28.9 43 03 34.4 
140 43 56.9 41 45 58.0 
140 59 53.1 43 11 17.4 
142 22 06.9 43 46 06.5 
140 58 38.5 42 18 45.6 
144 23 08.3 42 58 56.4 
143 11 59.7 42 55 16.1 
143 53 55.7 43 48 19.6 
141 58 41.1 43 03 15.7 
141 46 45.9 43 11 37.0 
144 16 39.3 44 01 04.3 
141 38 27.7 43 56 19.0 
141 36 33.0 42 37 53.6 
141 40 37.1 45 24 47.6 
141 51 27.0 43 19 49.4 
142 11 35.9 43 30 56.8 
141 32 23.7 43 06 04.6 
142 02 52.8 43 33 19.4 
143 21 28.7 44 21 13.6 
142 24 15.9 44 10 33.8 
142 28 00.6 44 21 12.1 
141 52 44.4 43 14 34.6 
145 35 13.2 43 19 37.2 
141 39 16.4 42 49 06.4 
141 54 51.1 43 33 19.1 
141 54 25.7 43 29 31.9 
142 02 20.4 43 31 08.9 
142 03 26.9 43 43 14.6 
142 23 13.4 43 20 21.5 
141 06 36.6 42 24 36.6 
141 34 53.2 42 52 48.3 
140 52 04.1 42 28 08.5 
141 34 01.8 42 58 59.2 
141 19 09.2 43 10 08.1 
141 31 14.7 43 13 16.6 
141 39 10.8 43 13 20.4 
141 26 16.5 43 23 51.9 
141 23 26.7 43 35 54.0 
140 06 50.2 41 25 38.3 
140 15 18.0 41 28 51.7 
140 25 20.8 41 35 43.3 
140 26 28.3 41 40 31.9 
140 39 23.4 41 49 16.6 
140 38 50.5 41 52 50.1 
140 41 52.2 41 53 34.6 
141 00 30.8 41 42 48.0 
141 06 41.7 41 47 05.9 
141 08 42.7 41 49 48.9 
140 58 24.8 41 54 09.7 
140 49 10.3 42 02 08.7 
140 40 15.4 42 07 16.5 
140 34 47.5 42 06 07.5 
140 16 08.1 42 15 11.7 
140 23 03.6 42 30 39.8 
140 07 51.2 41 51 58.3 
140 07 26.5 41 47 56.4 
140 13 43.9 41 55 04.9 
140 08 20.2 41 57 56.7 
139 59 11.2 42 07 35.6 
139 49 29.8 42 13 28.3 
139 31 03.2 42 10 10.8 
139 51 24.1 42 26 54.0 
139 53 10.9 42 24 53.2 
140 00 43.8 42 25 36.1 
140 03 54.1 42 41 53.3 
140 13 56.8 42 47 17.6 
140 18 40.4 42 39 54.7 
140 31 55.1 42 48 23.3 
140 41 28.2 42 48 07.4 
140 48 25.8 42 45 36.3 
140 52 44.3 42 44 04.8 
140 56 16.8 42 47 33.4 
140 53 16.3 42 51 19.0 
140 45 44.7 42 53 57.1 
140 36 55.7 42 58 38.5 
140 30 46.3 42 58 33.7 
140 30 09.0 43 03 38.7 
140 26 04.5 43 08 28.9 
140 36 06.8 43 17 46.3 
140 38 33.3 43 15 46.1 
140 46 03.8 43 09 06.4 
140 47 13.9 43 11 33.7 
140 49 01.5 43 04 51.2 
141 42 00.9 43 15 35.4 
